fault_name,dip,rake,dip_dir,depth,len,source_fault,plot
Alma,35,90,77,NaN,117,0,1
AshReef,45,90,249,NaN,22,0,1
Balgowan,45,90,252,NaN,21,0,1
Bremer,45,-90,270,NaN,46,0,1
Burra,36,90,260,NaN,57,1,1
Charleston,45,90,177,NaN,17,0,1
Cowell,50,45,330,NaN,48,0,1
CrystalBrook,45,90,72,NaN,59,0,1
EdenBurnside,50,90,140,NaN,65,0,1
Ediacara,45,90,257,NaN,59,0,1
EncounterBay,45,90,140,NaN,79,0,1
Hamley,45,90,308,NaN,202,0,1
ItalowieCreek,45,90,227,NaN,21,0,1
Kantappa,45,90,87,NaN,88,0,1
Kinchega,45,90,123,NaN,40,0,1
Morgan,45,90,105,NaN,177,0,1
Milendella,45,90,105,NaN,54,0,1
Moonabie,50,45,290,NaN,30,0,1
MundiMundi,30,90,101,NaN,165,0,1
NectarBrook,67,90,95,NaN,40,0,1
Norwest,45,45,60,NaN,127,0,1
OchreCoveClarendon,45,90,122,NaN,32,0,1
OlaryCreek,45,90,140,NaN,72,0,1
Palmer,80,90,77,NaN,40,0,1
Para,45,90,115,NaN,43,0,1
Paralana,45,90,277,NaN,44,0,1
PinePoint,45,90,275,NaN,110,0,1
PoldaBasin,45,90,180,NaN,114,0,1
Randall,50,45,282,NaN,33,0,1
Roopena,30,90,258,NaN,24,0,1
Wallaroo,45,90,181,NaN,35,0,1
Wertaloona,45,90,100,NaN,34,0,1
Willunga,50,90,133,NaN,56,0,1
Wilkatana,46,90,102,NaN,59,0,1
Wooltana,45,90,123,NaN,28,0,1
