fault_name	dip	dip_dir	rake	len
Alma	35	77	90	
AshReef	45	249	90	
Balgowan	45	252	90	
Bremer	45	270	-90	
Burra	36	260	90	
Charleston	45	177	90	
Cowell	50	330	45	
CrystalBrook	45	72	90	
EdenBurnside	50	140	90	
Ediacara	45	257	90	
EncounterBay	45	140	90	
Hamley	45	308	90	
ItalowieCreek	45	227	90	
Kantappa	45	87	90	
Kinchega	45	123	90	
Morgan	45	105	90	
Milendella	45	105	90	
Moonabie	50	290	45	
MundiMundi	30	101	90	
NectarBrook	67	95	90	
Norwest	45	60	45	
OchreCoveClarendon	45	122	90	
OlaryCreek	45	140	90	
Palmer	80	77	90	
Para	45	115	90	
Paralana	45	277	90	
PinePoint	45	275	90	
PoldaBasin	45	180	90	
Randall	50	282	45	
Roopena	30	258	90	
Wallaroo	45	181	90	
Wertaloona	45	100	90	
Willunga	50	133	90	
Wilkatana	46	102	90	
Wooltana	45	123	90	
